"year","household_type","housing_burden","share","source"
"2,015","Owner","20% to 34% of income","0.30378810059","ACS_B25095_1YR"
"2,015","Owner","At least 35% of income","0.23286240679","ACS_B25095_1YR"
"2,016","Owner","Less than 20% of income","0.46774070306","ACS_B25095_1YR"
"2,016","Owner","20% to 34% of income","0.30167191486","ACS_B25095_1YR"
"2,016","Owner","At least 35% of income","0.23058738208","ACS_B25095_1YR"
"2,017","Owner","Less than 20% of income","0.46427121424","ACS_B25095_1YR"
"2,017","Owner","20% to 34% of income","0.30967063631","ACS_B25095_1YR"
"2,017","Owner","At least 35% of income","0.22605814945","ACS_B25095_1YR"
"2,018","Owner","Less than 20% of income","0.48830294615","ACS_B25095_1YR"
"2,018","Owner","20% to 34% of income","0.29241387819","ACS_B25095_1YR"
"2,018","Owner","At least 35% of income","0.21928317567","ACS_B25095_1YR"
"2,019","Owner","Less than 20% of income","0.50267958343","ACS_B25095_1YR"
"2,019","Owner","20% to 34% of income","0.28351058998","ACS_B25095_1YR"
"2,019","Owner","At least 35% of income","0.21380982659","ACS_B25095_1YR"
"2,020","Owner","Less than 20% of income","0.48221945664","ACS_B25095_5YR"
"2,020","Owner","20% to 34% of income","0.29295112301","ACS_B25095_5YR"
"2,020","Owner","At least 35% of income","0.22482942035","ACS_B25095_5YR"
"2,021","Owner","Less than 20% of income","0.49876487402","ACS_B25095_1YR"
"2,021","Owner","20% to 34% of income","0.27324969394","ACS_B25095_1YR"
"2,021","Owner","At least 35% of income","0.22798543204","ACS_B25095_1YR"
"2,022","Owner","Less than 20% of income","0.50843612494","ACS_B25095_1YR"
"2,022","Owner","20% to 34% of income","0.2647511616","ACS_B25095_1YR"
"2,022","Owner","At least 35% of income","0.22681271346","ACS_B25095_1YR"
"2,023","Owner","Less than 20% of income","0.49315890436","ACS_B25095_1YR"
"2,023","Owner","20% to 34% of income","0.26854335244","ACS_B25095_1YR"
"2,023","Owner","At least 35% of income","0.2382977432","ACS_B25095_1YR"
"2,024","Owner","Less than 20% of income","0.49831848118","ACS_B25095_1YR_5YR"
"2,024","Owner","20% to 34% of income","0.26474516532","ACS_B25095_1YR_5YR"
"2,024","Owner","At least 35% of income","0.2369363535","ACS_B25095_1YR_5YR"
"2,009","Renter","Less than 20% of income","0.25098547243","ACS_B25074_1YR_5YR"
"2,009","Renter","20% to 34% of income","0.34875017763","ACS_B25074_1YR_5YR"
"2,009","Renter","At least 35% of income","0.40026434994","ACS_B25074_1YR_5YR"
"2,010","Renter","Less than 20% of income","0.24420875767","ACS_B25074_1YR_5YR"
"2,010","Renter","20% to 34% of income","0.33928533428","ACS_B25074_1YR_5YR"
"2,010","Renter","At least 35% of income","0.41650590805","ACS_B25074_1YR_5YR"
"2,011","Renter","Less than 20% of income","0.23157896641","ACS_B25074_1YR_5YR"
"2,011","Renter","20% to 34% of income","0.34558899361","ACS_B25074_1YR_5YR"
"2,011","Renter","At least 35% of income","0.42283203998","ACS_B25074_1YR_5YR"
"2,012","Renter","Less than 20% of income","0.23310733977","ACS_B25074_1YR"
"2,012","Renter","20% to 34% of income","0.33912820517","ACS_B25074_1YR"
"2,012","Renter","At least 35% of income","0.42776445506","ACS_B25074_1YR"
"2,013","Renter","Less than 20% of income","0.24278351055","ACS_B25074_1YR"
"2,013","Renter","20% to 34% of income","0.33851261249","ACS_B25074_1YR"
"2,013","Renter","At least 35% of income","0.41870387695","ACS_B25074_1YR"
"2,014","Renter","Less than 20% of income","0.24657400832","ACS_B25074_1YR_5YR"
"2,014","Renter","20% to 34% of income","0.34549854859","ACS_B25074_1YR_5YR"
"2,014","Renter","At least 35% of income","0.4079274431","ACS_B25074_1YR_5YR"
"2,015","Renter","Less than 20% of income","0.25814678792","ACS_B25074_1YR_5YR"
"2,015","Renter","20% to 34% of income","0.3420853651","ACS_B25074_1YR_5YR"
"2,015","Renter","At least 35% of income","0.39976784698","ACS_B25074_1YR_5YR"
"2,016","Renter","Less than 20% of income","0.27124685876","ACS_B25074_1YR_5YR"
"2,016","Renter","20% to 34% of income","0.3424584323","ACS_B25074_1YR_5YR"
"2,016","Renter","At least 35% of income","0.38629470894","ACS_B25074_1YR_5YR"
"2,017","Renter","Less than 20% of income","0.27241699141","ACS_B25074_1YR_5YR"
"2,017","Renter","20% to 34% of income","0.33987800895","ACS_B25074_1YR_5YR"
"2,017","Renter","At least 35% of income","0.38770499964","ACS_B25074_1YR_5YR"
"2,018","Renter","Less than 20% of income","0.28229976354","ACS_B25074_1YR_5YR"
"2,018","Renter","20% to 34% of income","0.33824534817","ACS_B25074_1YR_5YR"
"2,018","Renter","At least 35% of income","0.37945488828","ACS_B25074_1YR_5YR"
"2,019","Renter","Less than 20% of income","0.30182298749","ACS_B25074_1YR_5YR"
"2,019","Renter","20% to 34% of income","0.33822494561","ACS_B25074_1YR_5YR"
"2,019","Renter","At least 35% of income","0.3599520669","ACS_B25074_1YR_5YR"
"2,020","Renter","Less than 20% of income","0.28412896171","ACS_B25074_5YR"
"2,020","Renter","20% to 34% of income","0.33834751814","ACS_B25074_5YR"
"2,020","Renter","At least 35% of income","0.37752352015","ACS_B25074_5YR"
"2,021","Renter","Less than 20% of income","0.26268740891","ACS_B25074_1YR_5YR"
"2,021","Renter","20% to 34% of income","0.33139632434","ACS_B25074_1YR_5YR"
"2,021","Renter","At least 35% of income","0.40591626675","ACS_B25074_1YR_5YR"
"2,022","Renter","Less than 20% of income","0.26752218567","ACS_B25074_1YR_5YR"
"2,022","Renter","20% to 34% of income","0.33154183484","ACS_B25074_1YR_5YR"
"2,022","Renter","At least 35% of income","0.40093597949","ACS_B25074_1YR_5YR"
"2,023","Renter","Less than 20% of income","0.26767859681","ACS_B25074_1YR_5YR"
"2,023","Renter","20% to 34% of income","0.33202202124","ACS_B25074_1YR_5YR"
"2,023","Renter","At least 35% of income","0.40029938194","ACS_B25074_1YR_5YR"
"2,024","Renter","Less than 20% of income","0.28156421581","ACS_B25074_1YR_5YR"
"2,024","Renter","20% to 34% of income","0.31956209475","ACS_B25074_1YR_5YR"
"2,024","Renter","At least 35% of income","0.39887368944","ACS_B25074_1YR_5YR"
