"county","year","income_bracket","housing_burden","share","source"
"Contra Costa","2,024","Less than $10,000","30% to 34% of income","0","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","Less than $10,000","35% to 39% of income","0.00453270019","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","Less than $10,000","40% to 49% of income","0","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","Less than $10,000","At least 50% of income","0.98025037773","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$10,000 to $20,000","Less than 20% of income","0.00415588489","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$10,000 to $20,000","20% to 24% of income","0.03952011291","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$10,000 to $20,000","25% to 29% of income","0.0544969811","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$10,000 to $20,000","30% to 34% of income","0.08076531012","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$10,000 to $20,000","35% to 39% of income","0.02728769701","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$10,000 to $20,000","40% to 49% of income","0.03081627852","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$10,000 to $20,000","At least 50% of income","0.76295773543","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$20,000 to $35,000","Less than 20% of income","0.05963493443","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$20,000 to $35,000","20% to 24% of income","0.02804126828","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$20,000 to $35,000","25% to 29% of income","0.06813801444","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$20,000 to $35,000","30% to 34% of income","0.03321869922","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$20,000 to $35,000","35% to 39% of income","0.05619591096","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$20,000 to $35,000","40% to 49% of income","0.04553871736","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$20,000 to $35,000","At least 50% of income","0.70923245531","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$35,000 to $50,000","Less than 20% of income","0.09031040437","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$35,000 to $50,000","20% to 24% of income","0.04629964261","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$35,000 to $50,000","25% to 29% of income","0.08753965386","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$35,000 to $50,000","30% to 34% of income","0.05188129944","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$35,000 to $50,000","35% to 39% of income","0.04862867928","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$35,000 to $50,000","40% to 49% of income","0.14042484841","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$35,000 to $50,000","At least 50% of income","0.53491547203","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$50,000 to $75,000","Less than 20% of income","0.12908489427","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$50,000 to $75,000","20% to 24% of income","0.08701774778","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$50,000 to $75,000","25% to 29% of income","0.06401716661","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$50,000 to $75,000","30% to 34% of income","0.08104966695","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$50,000 to $75,000","35% to 39% of income","0.09683043498","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$50,000 to $75,000","40% to 49% of income","0.23398453217","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$50,000 to $75,000","At least 50% of income","0.30801555724","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$75,000 to $100,000","Less than 20% of income","0.22919640913","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$75,000 to $100,000","20% to 24% of income","0.08195610618","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$75,000 to $100,000","25% to 29% of income","0.11846976553","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$75,000 to $100,000","30% to 34% of income","0.15880659133","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$75,000 to $100,000","35% to 39% of income","0.13942458925","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$75,000 to $100,000","40% to 49% of income","0.1434171365","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$75,000 to $100,000","At least 50% of income","0.12872940209","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$100,000 or more","Less than 20% of income","0.54156965347","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$100,000 or more","20% to 24% of income","0.14673195555","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$100,000 or more","25% to 29% of income","0.12004432603","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$100,000 or more","30% to 34% of income","0.07777857789","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$100,000 or more","35% to 39% of income","0.04197370842","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$100,000 or more","40% to 49% of income","0.04090156261","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$100,000 or more","At least 50% of income","0.03100021603","ACS_B25074_B25095_1YR"
"Marin","2,024","Less than $10,000","Less than 20% of income","0.00848256362","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","Less than $10,000","20% to 24% of income","0","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","Less than $10,000","25% to 29% of income","0","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","Less than $10,000","30% to 34% of income","0.00471253534","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","Less than $10,000","35% to 39% of income","0","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","Less than $10,000","40% to 49% of income","0","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","Less than $10,000","At least 50% of income","0.98680490104","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$10,000 to $20,000","Less than 20% of income","0.00505651398","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$10,000 to $20,000","20% to 24% of income","0.06960142772","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$10,000 to $20,000","25% to 29% of income","0.0746579417","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$10,000 to $20,000","30% to 34% of income","0.05532421178","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$10,000 to $20,000","35% to 39% of income","0.01933372992","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$10,000 to $20,000","40% to 49% of income","0.02647233789","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$10,000 to $20,000","At least 50% of income","0.749553837","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$20,000 to $35,000","Less than 20% of income","0.05384470055","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$20,000 to $35,000","20% to 24% of income","0.06121292273","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$20,000 to $35,000","25% to 29% of income","0.07783865483","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$20,000 to $35,000","30% to 34% of income","0.03891932741","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$20,000 to $35,000","35% to 39% of income","0.01927073493","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$20,000 to $35,000","40% to 49% of income","0.06045720763","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$20,000 to $35,000","At least 50% of income","0.68845645192","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$35,000 to $50,000","Less than 20% of income","0.08312205723","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$35,000 to $50,000","20% to 24% of income","0.03531329229","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$35,000 to $50,000","25% to 29% of income","0.04744657733","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$35,000 to $50,000","30% to 34% of income","0.03784860558","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$35,000 to $50,000","35% to 39% of income","0.07950018109","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$35,000 to $50,000","40% to 49% of income","0.14107207534","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$35,000 to $50,000","At least 50% of income","0.57569721116","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$50,000 to $75,000","Less than 20% of income","0.11419118305","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$50,000 to $75,000","20% to 24% of income","0.08673879996","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$50,000 to $75,000","25% to 29% of income","0.07448806224","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$50,000 to $75,000","30% to 34% of income","0.07466690512","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$50,000 to $75,000","35% to 39% of income","0.07198426183","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$50,000 to $75,000","40% to 49% of income","0.16489314138","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$50,000 to $75,000","At least 50% of income","0.41303764643","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$75,000 to $100,000","Less than 20% of income","0.16216806906","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$75,000 to $100,000","20% to 24% of income","0.09190252431","ACS_B25074_B25095_1YR_5YR"
