"county","year","household_type","housing_burden","share","source"
"Santa Clara","2,020","All","Less than 20% of income","0.4103011274","ACS_B25074_B25095_5YR"
"Solano","2,020","All","Less than 20% of income","0.37582966286","ACS_B25074_B25095_5YR"
"Sonoma","2,020","All","Less than 20% of income","0.36367438273","ACS_B25074_B25095_5YR"
"Alameda","2,020","All","20% to 34% of income","0.32632750079","ACS_B25074_B25095_5YR"
"Contra Costa","2,020","All","20% to 34% of income","0.31601321174","ACS_B25074_B25095_5YR"
"Marin","2,020","All","20% to 34% of income","0.30418879745","ACS_B25074_B25095_5YR"
"Napa","2,020","All","20% to 34% of income","0.31009503696","ACS_B25074_B25095_5YR"
"San Francisco","2,020","All","20% to 34% of income","0.28795939271","ACS_B25074_B25095_5YR"
"San Mateo","2,020","All","20% to 34% of income","0.29762254864","ACS_B25074_B25095_5YR"
"Santa Clara","2,020","All","20% to 34% of income","0.3121014101","ACS_B25074_B25095_5YR"
"Solano","2,020","All","20% to 34% of income","0.33560666031","ACS_B25074_B25095_5YR"
"Sonoma","2,020","All","20% to 34% of income","0.31722047817","ACS_B25074_B25095_5YR"
"Alameda","2,020","All","At least 35% of income","0.29496287248","ACS_B25074_B25095_5YR"
"Contra Costa","2,020","All","At least 35% of income","0.29454029247","ACS_B25074_B25095_5YR"
"Marin","2,020","All","At least 35% of income","0.32022996556","ACS_B25074_B25095_5YR"
"Napa","2,020","All","At least 35% of income","0.30363252376","ACS_B25074_B25095_5YR"
"San Francisco","2,020","All","At least 35% of income","0.2701185136","ACS_B25074_B25095_5YR"
"San Mateo","2,020","All","At least 35% of income","0.29693376879","ACS_B25074_B25095_5YR"
"Santa Clara","2,020","All","At least 35% of income","0.2775974625","ACS_B25074_B25095_5YR"
"Solano","2,020","All","At least 35% of income","0.28856367684","ACS_B25074_B25095_5YR"
"Sonoma","2,020","All","At least 35% of income","0.3191051391","ACS_B25074_B25095_5YR"
"Alameda","2,021","All","Less than 20% of income","0.39040097311","ACS_B25074_B25095_1YR"
"Contra Costa","2,021","All","Less than 20% of income","0.38264869199","ACS_B25074_B25095_1YR"
"Marin","2,021","All","Less than 20% of income","0.36017021107","ACS_B25074_B25095_1YR"
"Napa","2,021","All","Less than 20% of income","0.39205110007","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,021","All","Less than 20% of income","0.41783711992","ACS_B25074_B25095_1YR"
"San Mateo","2,021","All","Less than 20% of income","0.40481935177","ACS_B25074_B25095_1YR"
"Santa Clara","2,021","All","Less than 20% of income","0.43459768611","ACS_B25074_B25095_1YR"
"Solano","2,021","All","Less than 20% of income","0.34886303852","ACS_B25074_B25095_1YR"
"Sonoma","2,021","All","Less than 20% of income","0.36466631453","ACS_B25074_B25095_1YR"
"Alameda","2,021","All","20% to 34% of income","0.30474651375","ACS_B25074_B25095_1YR"
"Contra Costa","2,021","All","20% to 34% of income","0.2983719031","ACS_B25074_B25095_1YR"
"Marin","2,021","All","20% to 34% of income","0.28887934393","ACS_B25074_B25095_1YR"
"Napa","2,021","All","20% to 34% of income","0.29777958025","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,021","All","20% to 34% of income","0.28652401829","ACS_B25074_B25095_1YR"
"San Mateo","2,021","All","20% to 34% of income","0.28178336154","ACS_B25074_B25095_1YR"
"Santa Clara","2,021","All","20% to 34% of income","0.2939277331","ACS_B25074_B25095_1YR"
"Solano","2,021","All","20% to 34% of income","0.3130297539","ACS_B25074_B25095_1YR"
"Sonoma","2,021","All","20% to 34% of income","0.32287882544","ACS_B25074_B25095_1YR"
"Alameda","2,021","All","At least 35% of income","0.30485251314","ACS_B25074_B25095_1YR"
"Contra Costa","2,021","All","At least 35% of income","0.31897940491","ACS_B25074_B25095_1YR"
"Marin","2,021","All","At least 35% of income","0.35095044501","ACS_B25074_B25095_1YR"
"Napa","2,021","All","At least 35% of income","0.31016931968","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,021","All","At least 35% of income","0.29563886179","ACS_B25074_B25095_1YR"
"San Mateo","2,021","All","At least 35% of income","0.31339728669","ACS_B25074_B25095_1YR"
"Santa Clara","2,021","All","At least 35% of income","0.27147458079","ACS_B25074_B25095_1YR"
"Solano","2,021","All","At least 35% of income","0.33810720758","ACS_B25074_B25095_1YR"
"Sonoma","2,021","All","At least 35% of income","0.31245486003","ACS_B25074_B25095_1YR"
"Alameda","2,022","All","Less than 20% of income","0.3942604902","ACS_B25074_B25095_1YR"
"Contra Costa","2,022","All","Less than 20% of income","0.38622819427","ACS_B25074_B25095_1YR"
"Marin","2,022","All","Less than 20% of income","0.37468824881","ACS_B25074_B25095_1YR_5YR"
"Napa","2,022","All","Less than 20% of income","0.36793720091","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,022","All","Less than 20% of income","0.43714890244","ACS_B25074_B25095_1YR"
"San Mateo","2,022","All","Less than 20% of income","0.41121773414","ACS_B25074_B25095_1YR"
"Santa Clara","2,022","All","Less than 20% of income","0.43861776909","ACS_B25074_B25095_1YR"
"Solano","2,022","All","Less than 20% of income","0.36410927448","ACS_B25074_B25095_1YR"
"Sonoma","2,022","All","Less than 20% of income","0.37630862948","ACS_B25074_B25095_1YR"
"Alameda","2,022","All","20% to 34% of income","0.29590518018","ACS_B25074_B25095_1YR"
"Contra Costa","2,022","All","20% to 34% of income","0.29773107048","ACS_B25074_B25095_1YR"
"Marin","2,022","All","20% to 34% of income","0.30258692357","ACS_B25074_B25095_1YR_5YR"
"Napa","2,022","All","20% to 34% of income","0.29768701201","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,022","All","20% to 34% of income","0.29506453066","ACS_B25074_B25095_1YR"
"San Mateo","2,022","All","20% to 34% of income","0.27663781189","ACS_B25074_B25095_1YR"
"Santa Clara","2,022","All","20% to 34% of income","0.28579235398","ACS_B25074_B25095_1YR"
"Solano","2,022","All","20% to 34% of income","0.29453948339","ACS_B25074_B25095_1YR"
"Sonoma","2,022","All","20% to 34% of income","0.30938438714","ACS_B25074_B25095_1YR"
"Alameda","2,022","All","At least 35% of income","0.30983432962","ACS_B25074_B25095_1YR"
"Contra Costa","2,022","All","At least 35% of income","0.31604073525","ACS_B25074_B25095_1YR"
"Marin","2,022","All","At least 35% of income","0.32272482762","ACS_B25074_B25095_1YR_5YR"
"Napa","2,022","All","At least 35% of income","0.33437578709","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,022","All","At least 35% of income","0.2677865669","ACS_B25074_B25095_1YR"
"San Mateo","2,022","All","At least 35% of income","0.31214445397","ACS_B25074_B25095_1YR"
"Santa Clara","2,022","All","At least 35% of income","0.27558987693","ACS_B25074_B25095_1YR"
"Solano","2,022","All","At least 35% of income","0.34135124213","ACS_B25074_B25095_1YR"
"Sonoma","2,022","All","At least 35% of income","0.31430698338","ACS_B25074_B25095_1YR"
"Alameda","2,023","All","Less than 20% of income","0.37614855422","ACS_B25074_B25095_1YR"
"Contra Costa","2,023","All","Less than 20% of income","0.37960456991","ACS_B25074_B25095_1YR"
"Marin","2,023","All","Less than 20% of income","0.35674342916","ACS_B25074_B25095_1YR_5YR"
"Napa","2,023","All","Less than 20% of income","0.37642130461","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,023","All","Less than 20% of income","0.42237021316","ACS_B25074_B25095_1YR"
"San Mateo","2,023","All","Less than 20% of income","0.41907747356","ACS_B25074_B25095_1YR"
"Santa Clara","2,023","All","Less than 20% of income","0.43081440348","ACS_B25074_B25095_1YR"
"Solano","2,023","All","Less than 20% of income","0.34846544005","ACS_B25074_B25095_1YR"
"Sonoma","2,023","All","Less than 20% of income","0.36749107205","ACS_B25074_B25095_1YR"
"Alameda","2,023","All","20% to 34% of income","0.29489741495","ACS_B25074_B25095_1YR"
"Contra Costa","2,023","All","20% to 34% of income","0.3077406405","ACS_B25074_B25095_1YR"
"Marin","2,023","All","20% to 34% of income","0.30027121653","ACS_B25074_B25095_1YR_5YR"
"Napa","2,023","All","20% to 34% of income","0.29827276667","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,023","All","20% to 34% of income","0.28950703421","ACS_B25074_B25095_1YR"
"San Mateo","2,023","All","20% to 34% of income","0.28333969532","ACS_B25074_B25095_1YR"
"Santa Clara","2,023","All","20% to 34% of income","0.2888865683","ACS_B25074_B25095_1YR"
"Solano","2,023","All","20% to 34% of income","0.32097016277","ACS_B25074_B25095_1YR"
"Sonoma","2,023","All","20% to 34% of income","0.30046356171","ACS_B25074_B25095_1YR"
"Alameda","2,023","All","At least 35% of income","0.32895403083","ACS_B25074_B25095_1YR"
"Contra Costa","2,023","All","At least 35% of income","0.31265478958","ACS_B25074_B25095_1YR"
"Marin","2,023","All","At least 35% of income","0.34298535431","ACS_B25074_B25095_1YR_5YR"
"Napa","2,023","All","At least 35% of income","0.32530592872","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,023","All","At least 35% of income","0.28812275263","ACS_B25074_B25095_1YR"
"San Mateo","2,023","All","At least 35% of income","0.29758283112","ACS_B25074_B25095_1YR"
"Santa Clara","2,023","All","At least 35% of income","0.28029902822","ACS_B25074_B25095_1YR"
"Solano","2,023","All","At least 35% of income","0.33056439717","ACS_B25074_B25095_1YR"
"Sonoma","2,023","All","At least 35% of income","0.33204536625","ACS_B25074_B25095_1YR"
"Alameda","2,024","All","Less than 20% of income","0.38395407814","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","All","Less than 20% of income","0.3777154665","ACS_B25074_B25095_1YR"
"Marin","2,024","All","Less than 20% of income","0.39109249869","ACS_B25074_B25095_1YR_5YR"
"Napa","2,024","All","Less than 20% of income","0.38678642797","ACS_B25074_B25095_5YR"
"San Francisco","2,024","All","Less than 20% of income","0.42418501394","ACS_B25074_B25095_1YR"
"San Mateo","2,024","All","Less than 20% of income","0.43812324854","ACS_B25074_B25095_1YR"
"Santa Clara","2,024","All","Less than 20% of income","0.44376117712","ACS_B25074_B25095_1YR"
"Solano","2,024","All","Less than 20% of income","0.34708816224","ACS_B25074_B25095_1YR_5YR"
"Sonoma","2,024","All","Less than 20% of income","0.37561573076","ACS_B25074_B25095_1YR"
"Alameda","2,024","All","20% to 34% of income","0.29860737543","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","All","20% to 34% of income","0.29709291817","ACS_B25074_B25095_1YR"
"Marin","2,024","All","20% to 34% of income","0.27267314353","ACS_B25074_B25095_1YR_5YR"
"Napa","2,024","All","20% to 34% of income","0.29154735172","ACS_B25074_B25095_5YR"
"San Francisco","2,024","All","20% to 34% of income","0.28847084745","ACS_B25074_B25095_1YR"
"San Mateo","2,024","All","20% to 34% of income","0.27914981864","ACS_B25074_B25095_1YR"
"Santa Clara","2,024","All","20% to 34% of income","0.27044211821","ACS_B25074_B25095_1YR"
"Solano","2,024","All","20% to 34% of income","0.30086903813","ACS_B25074_B25095_1YR_5YR"
"Sonoma","2,024","All","20% to 34% of income","0.30846979258","ACS_B25074_B25095_1YR"
"Alameda","2,024","All","At least 35% of income","0.31743854643","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","All","At least 35% of income","0.32519161533","ACS_B25074_B25095_1YR"
"Marin","2,024","All","At least 35% of income","0.33623435779","ACS_B25074_B25095_1YR_5YR"
"Napa","2,024","All","At least 35% of income","0.32166622031","ACS_B25074_B25095_5YR"
"San Francisco","2,024","All","At least 35% of income","0.28734413861","ACS_B25074_B25095_1YR"
"San Mateo","2,024","All","At least 35% of income","0.28272693282","ACS_B25074_B25095_1YR"
"Santa Clara","2,024","All","At least 35% of income","0.28579670467","ACS_B25074_B25095_1YR"
"Solano","2,024","All","At least 35% of income","0.35204279963","ACS_B25074_B25095_1YR_5YR"
"Sonoma","2,024","All","At least 35% of income","0.31591447666","ACS_B25074_B25095_1YR"
"Alameda","2,009","Owner","Less than 20% of income","0.35022133013","ACS_B25095_1YR"
"Contra Costa","2,009","Owner","Less than 20% of income","0.34605021656","ACS_B25095_1YR"
"Marin","2,009","Owner","Less than 20% of income","0.40491976554","ACS_B25095_1YR"
"Napa","2,009","Owner","Less than 20% of income","0.43553716357","ACS_B25095_1YR"
"San Francisco","2,009","Owner","Less than 20% of income","0.41437966672","ACS_B25095_1YR"
"San Mateo","2,009","Owner","Less than 20% of income","0.37515546653","ACS_B25095_1YR"
"Santa Clara","2,009","Owner","Less than 20% of income","0.36329120932","ACS_B25095_1YR"
"Solano","2,009","Owner","Less than 20% of income","0.34189339104","ACS_B25095_1YR"
"Sonoma","2,009","Owner","Less than 20% of income","0.33248318823","ACS_B25095_1YR"
"Alameda","2,009","Owner","20% to 34% of income","0.32765461747","ACS_B25095_1YR"
"Contra Costa","2,009","Owner","20% to 34% of income","0.31037109367","ACS_B25095_1YR"
"Marin","2,009","Owner","20% to 34% of income","0.28325486051","ACS_B25095_1YR"
"Napa","2,009","Owner","20% to 34% of income","0.2953517467","ACS_B25095_1YR"
"San Francisco","2,009","Owner","20% to 34% of income","0.26726169873","ACS_B25095_1YR"
"San Mateo","2,009","Owner","20% to 34% of income","0.29242108846","ACS_B25095_1YR"
"Santa Clara","2,009","Owner","20% to 34% of income","0.31242187341","ACS_B25095_1YR"
"Solano","2,009","Owner","20% to 34% of income","0.32006853904","ACS_B25095_1YR"
"Sonoma","2,009","Owner","20% to 34% of income","0.32558416895","ACS_B25095_1YR"
"Alameda","2,009","Owner","At least 35% of income","0.3221240524","ACS_B25095_1YR"
"Contra Costa","2,009","Owner","At least 35% of income","0.34357868977","ACS_B25095_1YR"
"Marin","2,009","Owner","At least 35% of income","0.31182537395","ACS_B25095_1YR"
"Napa","2,009","Owner","At least 35% of income","0.26911108973","ACS_B25095_1YR"
"San Francisco","2,009","Owner","At least 35% of income","0.31835863456","ACS_B25095_1YR"
"San Mateo","2,009","Owner","At least 35% of income","0.33242344501","ACS_B25095_1YR"
"Santa Clara","2,009","Owner","At least 35% of income","0.32428691727","ACS_B25095_1YR"
"Solano","2,009","Owner","At least 35% of income","0.33803806992","ACS_B25095_1YR"
"Sonoma","2,009","Owner","At least 35% of income","0.34193264282","ACS_B25095_1YR"
"Alameda","2,010","Owner","Less than 20% of income","0.36308668477","ACS_B25095_1YR"
"Contra Costa","2,010","Owner","Less than 20% of income","0.33826889152","ACS_B25095_1YR"
"Marin","2,010","Owner","Less than 20% of income","0.34707935202","ACS_B25095_1YR"
"Napa","2,010","Owner","Less than 20% of income","0.34107021463","ACS_B25095_1YR"
"San Francisco","2,010","Owner","Less than 20% of income","0.39628424615","ACS_B25095_1YR"
"San Mateo","2,010","Owner","Less than 20% of income","0.35638294355","ACS_B25095_1YR"
"Santa Clara","2,010","Owner","Less than 20% of income","0.37520083418","ACS_B25095_1YR"
"Solano","2,010","Owner","Less than 20% of income","0.35006346701","ACS_B25095_1YR"
"Sonoma","2,010","Owner","Less than 20% of income","0.34854643497","ACS_B25095_1YR"
"Alameda","2,010","Owner","20% to 34% of income","0.32217729044","ACS_B25095_1YR"
"Contra Costa","2,010","Owner","20% to 34% of income","0.34761395232","ACS_B25095_1YR"
"Marin","2,010","Owner","20% to 34% of income","0.27812066627","ACS_B25095_1YR"
"Napa","2,010","Owner","20% to 34% of income","0.34508432877","ACS_B25095_1YR"
"San Francisco","2,010","Owner","20% to 34% of income","0.29692429992","ACS_B25095_1YR"
"San Mateo","2,010","Owner","20% to 34% of income","0.30808852214","ACS_B25095_1YR"
"Santa Clara","2,010","Owner","20% to 34% of income","0.31608288907","ACS_B25095_1YR"
"Solano","2,010","Owner","20% to 34% of income","0.32554575915","ACS_B25095_1YR"
"Sonoma","2,010","Owner","20% to 34% of income","0.30159769394","ACS_B25095_1YR"
"Alameda","2,010","Owner","At least 35% of income","0.31473602479","ACS_B25095_1YR"
"Contra Costa","2,010","Owner","At least 35% of income","0.31411715616","ACS_B25095_1YR"
"Marin","2,010","Owner","At least 35% of income","0.37479998171","ACS_B25095_1YR"
"Napa","2,010","Owner","At least 35% of income","0.31384545661","ACS_B25095_1YR"
"San Francisco","2,010","Owner","At least 35% of income","0.30679145393","ACS_B25095_1YR"
"San Mateo","2,010","Owner","At least 35% of income","0.33552853431","ACS_B25095_1YR"
"Santa Clara","2,010","Owner","At least 35% of income","0.30871627675","ACS_B25095_1YR"
"Solano","2,010","Owner","At least 35% of income","0.32439077384","ACS_B25095_1YR"
"Sonoma","2,010","Owner","At least 35% of income","0.34985587109","ACS_B25095_1YR"
"Alameda","2,011","Owner","Less than 20% of income","0.36040220853","ACS_B25095_1YR"
"Contra Costa","2,011","Owner","Less than 20% of income","0.34100160129","ACS_B25095_1YR"
"Marin","2,011","Owner","Less than 20% of income","0.35834780866","ACS_B25095_1YR"
"Napa","2,011","Owner","Less than 20% of income","0.39812550937","ACS_B25095_1YR"
"San Francisco","2,011","Owner","Less than 20% of income","0.39545691311","ACS_B25095_1YR"
"San Mateo","2,011","Owner","Less than 20% of income","0.40018519382","ACS_B25095_1YR"
"Santa Clara","2,011","Owner","Less than 20% of income","0.40079723687","ACS_B25095_1YR"
"Solano","2,011","Owner","Less than 20% of income","0.38215582894","ACS_B25095_1YR"
"Sonoma","2,011","Owner","Less than 20% of income","0.37551769578","ACS_B25095_1YR"
"Alameda","2,011","Owner","20% to 34% of income","0.33663407646","ACS_B25095_1YR"
"Contra Costa","2,011","Owner","20% to 34% of income","0.34943588114","ACS_B25095_1YR"
"Marin","2,011","Owner","20% to 34% of income","0.3153393907","ACS_B25095_1YR"
"Napa","2,011","Owner","20% to 34% of income","0.30165962807","ACS_B25095_1YR"
"San Francisco","2,011","Owner","20% to 34% of income","0.26468242341","ACS_B25095_1YR"
"San Mateo","2,011","Owner","20% to 34% of income","0.29033461459","ACS_B25095_1YR"
"Santa Clara","2,011","Owner","20% to 34% of income","0.31844436451","ACS_B25095_1YR"
"Solano","2,011","Owner","20% to 34% of income","0.32076157001","ACS_B25095_1YR"
"Sonoma","2,011","Owner","20% to 34% of income","0.32672251506","ACS_B25095_1YR"
"Alameda","2,011","Owner","At least 35% of income","0.302963715","ACS_B25095_1YR"
"Contra Costa","2,011","Owner","At least 35% of income","0.30956251757","ACS_B25095_1YR"
"Marin","2,011","Owner","At least 35% of income","0.32631280064","ACS_B25095_1YR"
"Napa","2,011","Owner","At least 35% of income","0.30021486256","ACS_B25095_1YR"
"San Francisco","2,011","Owner","At least 35% of income","0.33986066348","ACS_B25095_1YR"
"San Mateo","2,011","Owner","At least 35% of income","0.30948019159","ACS_B25095_1YR"
"Santa Clara","2,011","Owner","At least 35% of income","0.28075839862","ACS_B25095_1YR"
"Solano","2,011","Owner","At least 35% of income","0.29708260105","ACS_B25095_1YR"
"Sonoma","2,011","Owner","At least 35% of income","0.29775978916","ACS_B25095_1YR"
"Alameda","2,012","Owner","Less than 20% of income","0.41325714848","ACS_B25095_1YR"
"Contra Costa","2,012","Owner","Less than 20% of income","0.37929319501","ACS_B25095_1YR"
"Marin","2,012","Owner","Less than 20% of income","0.43973501617","ACS_B25095_1YR"
"Napa","2,012","Owner","Less than 20% of income","0.38599820578","ACS_B25095_1YR"
"San Francisco","2,012","Owner","Less than 20% of income","0.41264162676","ACS_B25095_1YR"
"San Mateo","2,012","Owner","Less than 20% of income","0.40546268113","ACS_B25095_1YR"
"Santa Clara","2,012","Owner","Less than 20% of income","0.41603921488","ACS_B25095_1YR"
"Solano","2,012","Owner","Less than 20% of income","0.39363255651","ACS_B25095_1YR"
"Sonoma","2,012","Owner","Less than 20% of income","0.39510454317","ACS_B25095_1YR"
"Alameda","2,012","Owner","20% to 34% of income","0.3256199683","ACS_B25095_1YR"
"Contra Costa","2,012","Owner","20% to 34% of income","0.3346636963","ACS_B25095_1YR"
"Marin","2,012","Owner","20% to 34% of income","0.27656902452","ACS_B25095_1YR"
"Napa","2,012","Owner","20% to 34% of income","0.32395969912","ACS_B25095_1YR"
"San Francisco","2,012","Owner","20% to 34% of income","0.2946724919","ACS_B25095_1YR"
"San Mateo","2,012","Owner","20% to 34% of income","0.2890145712","ACS_B25095_1YR"
"Santa Clara","2,012","Owner","20% to 34% of income","0.32925672145","ACS_B25095_1YR"
"Solano","2,012","Owner","20% to 34% of income","0.36531939801","ACS_B25095_1YR"
"Alameda","2,012","Owner","At least 35% of income","0.26112288322","ACS_B25095_1YR"
"Contra Costa","2,012","Owner","At least 35% of income","0.28604310869","ACS_B25095_1YR"
"Marin","2,012","Owner","At least 35% of income","0.28369595931","ACS_B25095_1YR"
"Napa","2,012","Owner","At least 35% of income","0.29004209509","ACS_B25095_1YR"
"San Francisco","2,012","Owner","At least 35% of income","0.29268588134","ACS_B25095_1YR"
"San Mateo","2,012","Owner","At least 35% of income","0.30552274767","ACS_B25095_1YR"
"Santa Clara","2,012","Owner","At least 35% of income","0.25470406367","ACS_B25095_1YR"
"Solano","2,012","Owner","At least 35% of income","0.24104804547","ACS_B25095_1YR"
"Sonoma","2,012","Owner","At least 35% of income","0.29695749645","ACS_B25095_1YR"
"Alameda","2,013","Owner","Less than 20% of income","0.44163614973","ACS_B25095_1YR"
"Contra Costa","2,013","Owner","Less than 20% of income","0.4446990752","ACS_B25095_1YR"
"Marin","2,013","Owner","Less than 20% of income","0.41899093055","ACS_B25095_1YR"
"Napa","2,013","Owner","Less than 20% of income","0.40101954121","ACS_B25095_1YR"
"San Francisco","2,013","Owner","Less than 20% of income","0.46430689194","ACS_B25095_1YR"
"San Mateo","2,013","Owner","Less than 20% of income","0.44382156412","ACS_B25095_1YR"
"Santa Clara","2,013","Owner","Less than 20% of income","0.45605861564","ACS_B25095_1YR"
"Solano","2,013","Owner","Less than 20% of income","0.44854072493","ACS_B25095_1YR"
"Sonoma","2,013","Owner","Less than 20% of income","0.43475928536","ACS_B25095_1YR"
"Alameda","2,013","Owner","20% to 34% of income","0.32143492999","ACS_B25095_1YR"
"Contra Costa","2,013","Owner","20% to 34% of income","0.31625546508","ACS_B25095_1YR"
"Marin","2,013","Owner","20% to 34% of income","0.29492793421","ACS_B25095_1YR"
"Napa","2,013","Owner","20% to 34% of income","0.31140186916","ACS_B25095_1YR"
"San Francisco","2,013","Owner","20% to 34% of income","0.27136882219","ACS_B25095_1YR"
"San Mateo","2,013","Owner","20% to 34% of income","0.29757141108","ACS_B25095_1YR"
"Santa Clara","2,013","Owner","20% to 34% of income","0.30572670836","ACS_B25095_1YR"
"Solano","2,013","Owner","20% to 34% of income","0.31347876388","ACS_B25095_1YR"
"Sonoma","2,013","Owner","20% to 34% of income","0.30560530981","ACS_B25095_1YR"
"Alameda","2,013","Owner","At least 35% of income","0.23692892028","ACS_B25095_1YR"
"Contra Costa","2,013","Owner","At least 35% of income","0.23904545972","ACS_B25095_1YR"
"Marin","2,013","Owner","At least 35% of income","0.28608113524","ACS_B25095_1YR"
"Napa","2,013","Owner","At least 35% of income","0.28757858963","ACS_B25095_1YR"
"San Francisco","2,013","Owner","At least 35% of income","0.26432428586","ACS_B25095_1YR"
"San Mateo","2,013","Owner","At least 35% of income","0.2586070248","ACS_B25095_1YR"
"Santa Clara","2,013","Owner","At least 35% of income","0.238214676","ACS_B25095_1YR"
"Solano","2,013","Owner","At least 35% of income","0.23798051119","ACS_B25095_1YR"
"Sonoma","2,013","Owner","At least 35% of income","0.25963540483","ACS_B25095_1YR"
"Alameda","2,014","Owner","Less than 20% of income","0.45979062452","ACS_B25095_1YR"
"Contra Costa","2,014","Owner","Less than 20% of income","0.44027085833","ACS_B25095_1YR"
"Marin","2,014","Owner","Less than 20% of income","0.44982282966","ACS_B25095_1YR"
"Napa","2,014","Owner","Less than 20% of income","0.4774488189","ACS_B25095_1YR"
"San Francisco","2,014","Owner","Less than 20% of income","0.47904196154","ACS_B25095_1YR"
"San Mateo","2,014","Owner","Less than 20% of income","0.47295848016","ACS_B25095_1YR"
"Santa Clara","2,014","Owner","Less than 20% of income","0.47121635772","ACS_B25095_1YR"
"Solano","2,014","Owner","Less than 20% of income","0.43948801223","ACS_B25095_1YR"
"Sonoma","2,014","Owner","Less than 20% of income","0.45315275511","ACS_B25095_1YR"
"Alameda","2,014","Owner","20% to 34% of income","0.31115122136","ACS_B25095_1YR"
"Contra Costa","2,014","Owner","20% to 34% of income","0.32636395063","ACS_B25095_1YR"
"Marin","2,014","Owner","20% to 34% of income","0.28998987598","ACS_B25095_1YR"
"Napa","2,014","Owner","20% to 34% of income","0.26381102362","ACS_B25095_1YR"
"San Francisco","2,014","Owner","20% to 34% of income","0.26612768795","ACS_B25095_1YR"
"San Mateo","2,014","Owner","20% to 34% of income","0.29736679079","ACS_B25095_1YR"
"Santa Clara","2,014","Owner","20% to 34% of income","0.29085401636","ACS_B25095_1YR"
"Solano","2,014","Owner","20% to 34% of income","0.33521587544","ACS_B25095_1YR"
"Sonoma","2,014","Owner","20% to 34% of income","0.3003886279","ACS_B25095_1YR"
"Alameda","2,014","Owner","At least 35% of income","0.22905815413","ACS_B25095_1YR"
"Contra Costa","2,014","Owner","At least 35% of income","0.23336519104","ACS_B25095_1YR"
"Marin","2,014","Owner","At least 35% of income","0.26018729436","ACS_B25095_1YR"
"Napa","2,014","Owner","At least 35% of income","0.25874015748","ACS_B25095_1YR"
"San Francisco","2,014","Owner","At least 35% of income","0.25483035051","ACS_B25095_1YR"
"San Mateo","2,014","Owner","At least 35% of income","0.22967472905","ACS_B25095_1YR"
"Santa Clara","2,014","Owner","At least 35% of income","0.23792962592","ACS_B25095_1YR"
"Solano","2,014","Owner","At least 35% of income","0.22529611233","ACS_B25095_1YR"
"Sonoma","2,014","Owner","At least 35% of income","0.24645861699","ACS_B25095_1YR"
"Alameda","2,015","Owner","Less than 20% of income","0.46299502671","ACS_B25095_1YR"
"Contra Costa","2,015","Owner","Less than 20% of income","0.44911712737","ACS_B25095_1YR"
"Marin","2,015","Owner","Less than 20% of income","0.46070295156","ACS_B25095_1YR"
"Napa","2,015","Owner","Less than 20% of income","0.46534459061","ACS_B25095_1YR"
"San Francisco","2,015","Owner","Less than 20% of income","0.47989540095","ACS_B25095_1YR"
"San Mateo","2,015","Owner","Less than 20% of income","0.45692417345","ACS_B25095_1YR"
"Santa Clara","2,015","Owner","Less than 20% of income","0.47632668998","ACS_B25095_1YR"
"Solano","2,015","Owner","Less than 20% of income","0.44399176013","ACS_B25095_1YR"
"Sonoma","2,015","Owner","Less than 20% of income","0.46139749821","ACS_B25095_1YR"
"Alameda","2,015","Owner","20% to 34% of income","0.31085584152","ACS_B25095_1YR"
"Contra Costa","2,015","Owner","20% to 34% of income","0.31842713646","ACS_B25095_1YR"
"Marin","2,015","Owner","20% to 34% of income","0.2735819539","ACS_B25095_1YR"
"Napa","2,015","Owner","20% to 34% of income","0.30217946201","ACS_B25095_1YR"
"San Francisco","2,015","Owner","20% to 34% of income","0.28105481211","ACS_B25095_1YR"
"San Mateo","2,015","Owner","20% to 34% of income","0.2872984583","ACS_B25095_1YR"
"Santa Clara","2,015","Owner","20% to 34% of income","0.30612897385","ACS_B25095_1YR"
"Solano","2,015","Owner","20% to 34% of income","0.3408331426","ACS_B25095_1YR"
"Sonoma","2,015","Owner","20% to 34% of income","0.2834479767","ACS_B25095_1YR"
"Alameda","2,015","Owner","At least 35% of income","0.22614913177","ACS_B25095_1YR"
"Contra Costa","2,015","Owner","At least 35% of income","0.23245573617","ACS_B25095_1YR"
"Marin","2,015","Owner","At least 35% of income","0.26571509454","ACS_B25095_1YR"
"Napa","2,015","Owner","At least 35% of income","0.23247594738","ACS_B25095_1YR"
"San Francisco","2,015","Owner","At least 35% of income","0.23904978694","ACS_B25095_1YR"
"San Mateo","2,015","Owner","At least 35% of income","0.25577736826","ACS_B25095_1YR"
"Santa Clara","2,015","Owner","At least 35% of income","0.21754433617","ACS_B25095_1YR"
"Solano","2,015","Owner","At least 35% of income","0.21517509728","ACS_B25095_1YR"
